HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,59552,1,1
1,19616,6,6
2,38560,24,24
3,612672,44,44
4,1162304,64,64
5,222880,84,84
6,462528,104,104
7,223072,124,124
8,245696,144,144
9,220672,164,164
10,223072,184,184
11,222528,204,204
12,222784,224,224
13,222592,244,244
14,222560,264,264
15,222880,284,284
16,76576,304,304
17,672,324,324
18,66624,344,344
19,768,364,364
20,736,384,384
21,736,404,404
22,188288,424,424
23,21856,430,430
24,1248,436,436
25,45824,456,456
26,99840,476,476
27,519872,496,496
28,222848,516,516
29,376480,536,536
30,222496,556,556
31,243040,576,576
32,222784,596,596
33,222912,616,616
34,222784,636,636
35,223040,656,656
36,222976,676,676
37,222880,696,696
38,222752,716,716
39,24832,736,736
40,672,756,756
41,20800,776,776
42,800,796,796
43,768,816,816
44,768,836,836
45,26304,856,856
46,57248,862,862
47,8868800,876,876
48,1495616,881,881
